num_packets,total_bytes,mean_packet_size,std_packet_size,min_packet_size,max_packet_size,mean_interarrival_time,std_interarrival_time,small_pkt_frac,medium_pkt_frac,large_pkt_frac,label
306,49716,162.47058823529412,29.814033372364914,122,202,1.4400720189829341,2.0216913417905884,0.9084967320261438,0.0915032679738562,0.0,0
3,193,64.33333333333333,14.613540144521982,54,85,1.879544973373413,1.879544973373413,1.0,0.0,0.0,0
2,108,54.0,0.0,54,54,3.481149911880493,0.0,1.0,0.0,0.0,0
4,279,69.75,16.618889854620253,54,93,0.07825764020284016,0.11067301613417055,1.0,0.0,0.0,0
2,108,54.0,0.0,54,54,0.000431060791015625,0.0,1.0,0.0,0.0,0
3,193,64.33333333333333,14.613540144521982,54,85,1.5113649368286133,1.5113649368286133,1.0,0.0,0.0,0
3,162,54.0,0.0,54,54,1.3755054473876953,1.3754665851593018,1.0,0.0,0.0,0
1,76,76.0,0.0,76,76,0.0,0.0,1.0,0.0,0.0,0
1,76,76.0,0.0,76,76,0.0,0.0,1.0,0.0,0.0,0
1,76,76.0,0.0,76,76,0.0,0.0,1.0,0.0,0.0,0
4,218,54.5,0.5,54,55,24.999473333358765,18.727019766696962,1.0,0.0,0.0,0
5,318,63.6,8.97997772825746,54,78,18.742847740650177,19.49428004100261,1.0,0.0,0.0,0
1,229,229.0,0.0,229,229,0.0,0.0,0.0,1.0,0.0,0
1,153,153.0,0.0,153,153,0.0,0.0,1.0,0.0,0.0,0
1,153,153.0,0.0,153,153,0.0,0.0,1.0,0.0,0.0,0
107,49114,459.0093457943925,499.62495271013046,54,1330,3.696358622245069,10.644429866164836,0.5981308411214953,0.16822429906542055,0.2336448598130841,0
93,17755,190.91397849462365,273.5843191724899,54,1330,4.258834880331288,11.344851734611407,0.7204301075268817,0.23655913978494625,0.043010752688172046,0
1,80,80.0,0.0,80,80,0.0,0.0,1.0,0.0,0.0,0
1,80,80.0,0.0,80,80,0.0,0.0,1.0,0.0,0.0,0
1,80,80.0,0.0,80,80,0.0,0.0,1.0,0.0,0.0,0
1,80,80.0,0.0,80,80,0.0,0.0,1.0,0.0,0.0,0
1,80,80.0,0.0,80,80,0.0,0.0,1.0,0.0,0.0,0
